date,IaaS
2016-01-03,55.0
2016-01-04,55.57142857142857
2016-01-05,56.142857142857146
2016-01-06,56.714285714285715
2016-01-07,57.285714285714285
2016-01-08,57.857142857142854
2016-01-09,58.42857142857143
2016-01-10,59.0
2016-01-11,59.42857142857143
2016-01-12,59.857142857142854
2016-01-13,60.285714285714285
2016-01-14,60.714285714285715
2016-01-15,61.142857142857146
2016-01-16,61.57142857142857
2016-01-17,62.0
2016-01-18,62.0
2016-01-19,62.0
2016-01-20,62.0
2016-01-21,62.0
2016-01-22,62.0
2016-01-23,62.0
2016-01-24,62.0
2016-01-25,63.142857142857146
2016-01-26,64.28571428571429
2016-01-27,65.42857142857143
2016-01-28,66.57142857142857
2016-01-29,67.71428571428571
2016-01-30,68.85714285714286
2016-01-31,70.0
2016-02-01,69.71428571428571
2016-02-02,69.42857142857143
2016-02-03,69.14285714285714
2016-02-04,68.85714285714286
2016-02-05,68.57142857142857
2016-02-06,68.28571428571429
2016-02-07,68.0
2016-02-08,68.42857142857143
2016-02-09,68.85714285714286
2016-02-10,69.28571428571429
2016-02-11,69.71428571428571
2016-02-12,70.14285714285714
2016-02-13,70.57142857142857
2016-02-14,71.0
2016-02-15,69.71428571428571
2016-02-16,68.42857142857143
2016-02-17,67.14285714285714
2016-02-18,65.85714285714286
2016-02-19,64.57142857142857
2016-02-20,63.285714285714285
2016-02-21,62.0
2016-02-22,61.714285714285715
2016-02-23,61.42857142857143
2016-02-24,61.142857142857146
2016-02-25,60.857142857142854
2016-02-26,60.57142857142857
2016-02-27,60.285714285714285
2016-02-28,60.0
2016-02-29,60.857142857142854
2016-03-01,61.714285714285715
2016-03-02,62.57142857142857
2016-03-03,63.42857142857143
2016-03-04,64.28571428571429
2016-03-05,65.14285714285714
2016-03-06,66.0
2016-03-07,66.0
2016-03-08,66.0
2016-03-09,66.0
2016-03-10,66.0
2016-03-11,66.0
2016-03-12,66.0
2016-03-13,66.0
2016-03-14,66.0
2016-03-15,66.0
2016-03-16,66.0
2016-03-17,66.0
2016-03-18,66.0
2016-03-19,66.0
2016-03-20,66.0
2016-03-21,65.85714285714286
2016-03-22,65.71428571428571
2016-03-23,65.57142857142857
2016-03-24,65.42857142857143
2016-03-25,65.28571428571429
2016-03-26,65.14285714285714
2016-03-27,65.0
2016-03-28,65.0
2016-03-29,65.0
2016-03-30,65.0
2016-03-31,65.0
2016-04-01,65.0
2016-04-02,65.0
2016-04-03,65.0
2016-04-04,67.71428571428571
2016-04-05,70.42857142857143
2016-04-06,73.14285714285714
2016-04-07,75.85714285714286
2016-04-08,78.57142857142857
2016-04-09,81.28571428571428
2016-04-10,84.0
2016-04-11,82.14285714285714
2016-04-12,80.28571428571429
2016-04-13,78.42857142857143
2016-04-14,76.57142857142857
2016-04-15,74.71428571428571
2016-04-16,72.85714285714286
2016-04-17,71.0
2016-04-18,70.28571428571429
2016-04-19,69.57142857142857
2016-04-20,68.85714285714286
2016-04-21,68.14285714285714
2016-04-22,67.42857142857143
2016-04-23,66.71428571428571
2016-04-24,66.0
2016-04-25,65.28571428571429
2016-04-26,64.57142857142857
2016-04-27,63.857142857142854
2016-04-28,63.142857142857146
2016-04-29,62.42857142857143
2016-04-30,61.714285714285715
2016-05-01,61.0
2016-05-02,63.714285714285715
2016-05-03,66.42857142857143
2016-05-04,69.14285714285714
2016-05-05,71.85714285714286
2016-05-06,74.57142857142857
2016-05-07,77.28571428571428
2016-05-08,80.0
2016-05-09,78.57142857142857
2016-05-10,77.14285714285714
2016-05-11,75.71428571428571
2016-05-12,74.28571428571429
2016-05-13,72.85714285714286
2016-05-14,71.42857142857143
2016-05-15,70.0
2016-05-16,71.57142857142857
2016-05-17,73.14285714285714
2016-05-18,74.71428571428571
2016-05-19,76.28571428571429
2016-05-20,77.85714285714286
2016-05-21,79.42857142857143
2016-05-22,81.0
2016-05-23,79.14285714285714
2016-05-24,77.28571428571429
2016-05-25,75.42857142857143
2016-05-26,73.57142857142857
2016-05-27,71.71428571428571
2016-05-28,69.85714285714286
2016-05-29,68.0
2016-05-30,68.14285714285714
2016-05-31,68.28571428571429
2016-06-01,68.42857142857143
2016-06-02,68.57142857142857
2016-06-03,68.71428571428571
2016-06-04,68.85714285714286
2016-06-05,69.0
2016-06-06,69.14285714285714
2016-06-07,69.28571428571429
2016-06-08,69.42857142857143
2016-06-09,69.57142857142857
2016-06-10,69.71428571428571
2016-06-11,69.85714285714286
2016-06-12,70.0
2016-06-13,70.0
2016-06-14,70.0
2016-06-15,70.0
2016-06-16,70.0
2016-06-17,70.0
2016-06-18,70.0
2016-06-19,70.0
2016-06-20,69.85714285714286
2016-06-21,69.71428571428571
2016-06-22,69.57142857142857
2016-06-23,69.42857142857143
2016-06-24,69.28571428571429
2016-06-25,69.14285714285714
2016-06-26,69.0
2016-06-27,68.14285714285714
2016-06-28,67.28571428571429
2016-06-29,66.42857142857143
2016-06-30,65.57142857142857
2016-07-01,64.71428571428571
2016-07-02,63.85714285714286
2016-07-03,63.0
2016-07-04,62.714285714285715
2016-07-05,62.42857142857143
2016-07-06,62.142857142857146
2016-07-07,61.857142857142854
2016-07-08,61.57142857142857
